2000/01/01-00:00:00.000000 ;Temp mini (Degrees);Light Intensity mini;Accelerometer X (mg);Accelerometer Y (mg);Accelerometer Z (mg);Accelerometer total (mg);Magnetormeter X (T);Magnetormetertormeter Z (T);Magnetormeter total T);Temp SCD30 (Degrees);Humidity (%);CO2 (ppm);IR itensity;Light Intensity SI1145;UV Index;Red;Green;Blue;White
2000/01/01-00:00:00.000000 ;28;255;672;394;744;1066;-317.8;-227.4;334.8;514.585;0;0;0;0;0;0;0;0;0;0
2000/01/01-00:00:00.000000 ;28;29;676;388;738;1069;-316.6;-226.8;334.2;513.189;0;0;0;0;0;0;0;0;0;0
2000/01/01-00:00:00.000000 ;28;27;670;392;750;1070;-315.5;-227.9;333.6;512.608;0;0;0;0;0;0;0;0;0;0
2000/01/01-00:00:00.000000 ;28;26;668;378;724;1072;-314.9;-227.4;336.1;513.649;0;0;0;0;0;0;0;0;0;0
2000/01/01-00:00:00.000000 ;28;27;670;390;734;1074;-317.8;-226.8;334.9;514.386;0;0;0;0;0;0;0;0;0;0
2000/01/01-00:00:00.000000 ;28;28;664;390;746;1071;-317.2;-228.5;336.1;515.549;0;0;0;0;0;0;0;0;0;0
2000/01/01-00:00:00.000000 ;28;28;662;384;750;1060;-316;-227.9;334.2;513.306;0;0;0;0;0;0;0;0;0;0
2000/01/01-00:00:00.000000 ;28;25;676;384;736;1068;-316.6;-229.1;334.3;514.275;0;0;0;0;0;0;0;0;0;0
2000/01/01-00:00:00.000000 ;28;27;660;374;734;1074;-314.3;-226.2;334.2;511.508;0;0;0;0;0;0;0;0;0;0
2000/01/01-00:00:00.000000 ;28;25;668;390;740;1072;-317.2;-227.9;334.2;514.046;0;0;0;0;0;0;0;0;0;0
2000/01/01-00:00:00.000000 ;28;26;664;394;742;1070;-317.8;-228.5;334.9;515.137;0;0;0;0;0;0;0;0;0;0
2000/01/01-00:00:00.000000 ;28;25;666;382;738;1076;-316.1;-226.8;333.1;512.165;0;0;0;0;0;0;0;0;0;0
2000/01/01-00:00:00.000000 ;28;30;664;388;730;1075;-314.3;-227.4;334.3;512.105;0;0;0;0;0;0;0;0;0;0
2000/01/01-00:00:00.000000 ;28;28;670;382;738;1067;-315.5;-227.4;334.3;512.842;0;0;0;0;0;0;0;0;0;0
2000/01/01-00:00:00.000000 ;28;26;668;390;728;1065;-314.9;-228;334.9;513.131;0;0;0;0;0;0;0;0;0;0
